x,cntry,essround,idno,pspwght,pweight,polintr,happy,gndr,yrbrn,agea,chldhm,edulvla,eisced,eduyrs,pdwrk,edctn,wkhtot,isco08,uemp3m,hinctnta
1,CH,8,1,0.899777412,0.464939934,2,8,1,1960,56,2,3,3,9,1,0,60,1200,1,10
2,CH,8,3,1.102796197,0.464939934,2,6,2,1953,63,2,3,3,12,1,0,20,5419,1,1
3,CH,8,5,1.022381425,0.464939934,2,8,1,1987,29,2,5,7,18,1,0,50,2210,2,10
4,CH,8,6,1.090924263,0.464939934,3,8,2,1949,67,2,2,2,9,0,0,37,5223,2,1
5,CH,8,9,1.032253623,0.464939934,2,8,1,1963,53,2,3,3,10,0,0,44,7112,1,77
6,CH,8,14,0.890090764,0.464939934,2,5,1,1948,68,2,3,3,9,0,0,46,4220,1,2
7,CH,8,21,0.890090764,0.464939934,2,9,1,1961,55,2,3,3,9,1,0,45,8300,2,5
8,CH,8,22,0.924070776,0.464939934,3,3,2,1955,61,2,2,2,8,0,0,44,8100,2,77
9,CH,8,24,1.140466452,0.464939934,2,8,2,1980,36,2,5,6,13,1,0,24,5223,2,4
10,CH,8,27,1.102796197,0.464939934,1,10,2,1941,75,2,4,5,16,0,0,55,1120,1,5
11,CH,8,28,1.160116434,0.464939934,3,9,2,1997,20,2,3,4,17,0,1,666,66666,2,88
12,CH,8,33,0.890090764,0.464939934,1,10,1,1961,55,2,5,5,9,1,0,50,3120,2,10
13,CH,8,34,1.186012149,0.464939934,2,8,1,1980,36,1,88,88,14,1,0,50,1120,1,3
14,CH,8,39,1.001342416,0.464939934,2,7,1,1973,43,2,3,3,13,1,0,50,3123,2,6
15,CH,8,41,1.210716963,0.464939934,2,5,2,1937,79,2,2,2,9,0,0,0,5120,2,77
16,CH,8,43,1.147626638,0.464939934,1,10,2,1988,28,2,5,6,18,1,0,50,1000,2,2
17,CH,8,45,1.032253623,0.464939934,1,8,1,1963,53,2,3,3,13,1,0,45,8331,2,4
18,CH,8,46,1.090924263,0.464939934,2,9,2,1949,67,2,2,2,12,0,0,48,3256,2,3
19,CH,8,50,0.78312695,0.464939934,2,6,1,1948,68,2,3,3,8,0,0,42,3350,1,2
20,CH,8,54,1.003414631,0.464939934,2,10,2,1969,47,2,3,4,10,1,0,50,3321,2,2
21,CH,8,55,0.993800044,0.464939934,2,8,1,1977,39,2,3,3,12,1,0,4,3311,2,77
22,CH,8,59,0.924070776,0.464939934,4,9,2,1951,65,2,1,1,8,0,0,10,9110,2,3
23,CH,8,61,1.090924263,0.464939934,3,5,2,1945,71,2,2,2,4,0,0,50,5120,2,88
24,CH,8,63,1.102796197,0.464939934,3,9,2,1939,77,2,5,5,12,0,0,30,3343,2,2
25,CH,8,68,0.899777412,0.464939934,3,8,1,1953,63,2,5,5,9,0,0,40,3112,2,2
26,CH,8,73,0.899777412,0.464939934,1,6,1,1959,57,2,5,6,12,1,0,20,2620,1,77
27,CH,8,78,1.140466452,0.464939934,2,9,2,1977,40,2,5,5,11,1,0,43,4120,2,3
28,CH,8,81,1.032253623,0.464939934,3,8,1,1974,42,1,2,2,9,1,0,45,8332,1,4
29,CH,8,85,0.959825993,0.464939934,2,7,2,1951,65,2,3,4,15,0,0,60,2341,2,3
30,CH,8,86,1.003414631,0.464939934,3,9,2,1979,37,2,5,5,9,1,0,42,2300,1,4
31,CH,8,88,0.959825993,0.464939934,2,7,2,1940,76,2,3,3,9,0,0,45,6113,2,9
32,CH,8,91,1.160116434,0.464939934,4,9,2,1984,32,2,5,6,18,1,0,40,2341,2,4
33,CH,8,92,0.899777412,0.464939934,3,6,1,1950,66,2,1,1,9,0,0,40,7311,2,2
34,CH,8,94,0.890090764,0.464939934,1,9,1,1958,58,2,3,3,9,1,0,53,3432,1,1
35,CH,8,96,0.9878304,0.464939934,2,8,1,1942,74,2,3,3,14,0,0,666,66666,2,2
36,CH,8,98,1.090924263,0.464939934,2,2,2,1956,60,2,3,3,8,1,0,22,3341,1,6
37,CH,8,103,1.152878165,0.464939934,3,9,2,1963,54,2,5,6,14,1,0,40,2341,2,5
38,CH,8,105,0.890090764,0.464939934,2,4,1,1951,65,2,3,3,9,1,0,45,7320,2,3
39,CH,8,108,0.866011918,0.464939934,3,8,1,1990,26,2,3,3,9,1,0,41,3100,2,10
40,CH,8,109,0.959825993,0.464939934,2,9,2,1946,70,2,3,3,9,0,0,50,2222,2,4
41,CH,8,110,0.93108362,0.464939934,2,7,2,1954,62,2,5,5,13,0,0,30,3323,2,5
42,CH,8,112,0.959825993,0.464939934,1,10,2,1948,68,2,5,5,9,0,0,45,4110,2,4
43,CH,8,116,0.959825993,0.464939934,2,10,2,1947,69,2,3,3,11,0,0,42,5223,2,2
44,CH,8,123,0.899520457,0.464939934,2,8,1,1982,34,2,4,5,16,1,0,48,7413,2,3
45,CH,8,127,0.759676516,0.464939934,1,7,1,1961,55,2,2,2,9,1,0,80,3255,2,7
46,CH,8,128,0.890090764,0.464939934,2,2,1,1960,56,2,3,3,9,1,0,42,3214,2,6
47,CH,8,129,1.140466452,0.464939934,2,8,2,1981,35,2,5,7,19,1,0,60,2211,2,8
48,CH,8,131,1.090924263,0.464939934,1,8,2,1931,85,2,3,3,8,0,0,43,3221,2,1
49,CH,8,134,1.090924263,0.464939934,1,9,2,1936,80,2,3,4,14,0,0,42,2342,2,4
50,CH,8,135,1.17324388,0.464939934,1,10,1,1976,40,1,2,2,12,1,0,20,7133,2,10
51,CH,8,138,0.924070776,0.464939934,4,8,2,1930,86,2,1,1,3,0,0,888,9000,2,77
52,CH,8,140,0.759676516,0.464939934,2,8,1,1949,67,2,3,3,9,1,0,20,5165,2,5
53,CH,8,145,1.102796197,0.464939934,4,8,2,1934,82,2,3,3,9,0,0,45,4120,2,4
54,CH,8,146,1.090924263,0.464939934,3,8,2,1946,70,2,3,3,9,0,0,26,5223,2,2
55,CH,8,148,0.959825993,0.464939934,2,8,2,1926,90,2,3,4,12,0,0,888,2330,2,1
56,CH,8,151,1.102796197,0.464939934,3,10,2,1948,68,2,2,2,0,0,0,20,5131,2,4
57,CH,8,153,0.890090764,0.464939934,2,8,1,1938,78,2,3,3,8,0,0,52,3120,2,4
58,CH,8,154,1.090924263,0.464939934,2,6,2,1945,71,2,2,2,10,0,0,22,4120,1,6
59,CH,8,157,0.924070776,0.464939934,2,7,2,1939,77,2,3,3,9,0,0,888,4120,1,2
60,CH,8,159,1.160116434,0.464939934,3,9,2,1985,31,2,5,7,19,1,0,50,2210,2,7
61,CH,8,161,1.140466452,0.464939934,1,9,2,1962,54,2,3,3,9,1,0,42,4110,2,5
62,CH,8,168,1.17324388,0.464939934,1,8,1,1965,51,2,3,4,14,1,0,45,8141,2,77
63,CH,8,171,0.959825993,0.464939934,2,8,2,1943,73,2,2,2,8,0,0,44,7311,2,2
64,CH,8,176,1.17324388,0.464939934,2,8,1,1976,41,2,5,5,9,1,0,42,2642,1,4
65,CH,8,177,1.022381425,0.464939934,3,9,1,1988,28,2,5,6,16,1,0,46,2141,2,8
66,CH,8,181,0.75395447,0.464939934,1,8,1,1947,69,2,5,5,9,0,0,70,1222,2,4
67,CH,8,183,1.152878165,0.464939934,3,9,2,1970,46,1,3,3,9,1,0,35,4412,2,3
68,CH,8,184,1.022381425,0.464939934,2,7,1,1988,28,2,3,4,19,0,1,25,2500,2,2
69,CH,8,185,1.090924263,0.464939934,1,9,2,1933,83,2,3,4,13,0,0,42,2341,2,6
70,CH,8,198,1.210716963,0.464939934,3,7,2,1951,65,2,3,4,12,0,0,0,4120,1,3
71,CH,8,199,1.102796197,0.464939934,1,8,2,1942,74,2,3,4,13,0,0,25,7323,1,4
72,CH,8,201,1.152878165,0.464939934,3,4,2,1965,51,2,3,3,10,0,0,38,5211,1,2
73,CH,8,207,0.979478419,0.464939934,2,8,2,1988,28,2,5,5,9,1,0,56,1221,2,8
74,CH,8,208,0.993800044,0.464939934,4,7,1,1972,45,2,2,2,9,0,0,12,9110,1,2
75,CH,8,210,1.17324388,0.464939934,2,8,1,1970,47,1,5,7,13,1,0,55,1120,2,77
76,CH,8,214,1.210716963,0.464939934,4,10,2,1933,83,2,2,2,9,0,0,0,3119,2,1
77,CH,8,216,0.924070776,0.464939934,2,10,2,1954,62,2,3,3,9,1,0,40,3221,2,2
78,CH,8,221,1.090924263,0.464939934,2,10,2,1945,71,2,3,3,9,0,0,50,5221,2,2
79,CH,8,222,0.899777412,0.464939934,3,8,1,1961,55,2,2,2,9,1,0,43,8121,1,4
80,CH,8,223,0.75395447,0.464939934,2,9,1,1952,64,2,5,5,8,1,0,50,7131,2,4
81,CH,8,225,0.866011918,0.464939934,4,8,1,1990,26,2,3,3,10,0,1,40,8171,2,77
82,CH,8,227,1.003414631,0.464939934,3,7,2,1971,45,2,5,7,17,1,0,44,2500,2,10
83,CH,8,232,0.75395447,0.464939934,1,10,1,1944,72,2,5,5,13,0,0,50,2161,1,3
84,CH,8,241,1.210716963,0.464939934,3,10,2,1925,91,2,1,1,9,0,0,888,9110,2,2
85,CH,8,243,0.899777412,0.464939934,2,5,1,1957,59,2,3,3,14,1,0,3,5111,2,5
86,CH,8,248,1.152878165,0.464939934,4,7,2,1972,45,2,5,5,18,1,0,46,3313,1,7
87,CH,8,250,0.78312695,0.464939934,3,10,1,1958,58,2,3,3,10,1,0,30,3412,1,3
88,CH,8,253,0.899777412,0.464939934,2,7,1,1957,59,2,3,3,12,1,0,40,5164,2,77
89,CH,8,256,1.022381425,0.464939934,1,6,1,1982,34,2,5,7,17,0,0,10,5132,1,2
90,CH,8,261,1.152878165,0.464939934,4,8,2,1978,38,2,3,3,18,1,0,60,2269,2,1
91,CH,8,262,1.022381425,0.464939934,4,7,1,1992,24,1,2,2,9,1,0,30,7124,1,10
92,CH,8,266,1.033508062,0.464939934,1,9,1,1985,31,1,2,2,15,1,0,47,5100,1,2
93,CH,8,270,1.17324388,0.464939934,1,5,1,1967,49,2,3,3,9,1,0,25,7112,1,2
94,CH,8,273,0.959825993,0.464939934,4,8,2,1941,75,2,3,3,9,1,0,4,3351,2,2
95,CH,8,275,0.890090764,0.464939934,2,8,1,1956,60,2,3,3,9,1,0,45,4321,2,4
96,CH,8,279,1.022381425,0.464939934,2,8,1,1987,29,2,3,3,12,1,0,40,7126,2,4
97,CH,8,280,0.890090764,0.464939934,2,7,1,1954,62,2,5,6,14,0,0,888,3334,2,9
98,CH,8,284,1.022381425,0.464939934,1,7,1,1989,27,2,3,4,9,1,0,26,3310,2,3
99,CH,8,295,1.160116434,0.464939934,2,9,2,1983,33,2,5,5,14,1,0,70,1410,2,6
100,CH,8,298,0.972100914,0.464939934,3,10,2,1989,27,2,2,2,6,1,0,20,9000,2,88
101,CH,8,299,1.102796197,0.464939934,2,9,2,1935,81,2,3,4,12,0,0,40,88888,2,77
102,CH,8,306,0.972100914,0.464939934,3,7,2,1984,33,2,3,3,13,1,0,44,3111,2,3
103,CH,8,307,1.022381425,0.464939934,2,10,1,1984,32,2,5,7,18,1,0,60,3000,2,9
104,CH,8,314,0.899777412,0.464939934,4,8,1,1941,75,2,3,3,12,0,0,50,5211,1,2
105,CH,8,316,1.022381425,0.464939934,4,10,1,1989,27,2,3,3,9,1,0,43,9312,1,6
106,CH,8,319,0.9878304,0.464939934,3,5,1,1937,79,2,3,4,12,0,0,40,2410,2,4
107,CH,8,323,1.160116434,0.464939934,3,5,2,1988,28,2,3,3,10,1,0,40,5223,1,6
108,CH,8,326,1.140466452,0.464939934,2,8,2,1971,45,2,5,6,18,1,0,40,3431,2,4
109,CH,8,329,1.001342416,0.464939934,2,6,1,1963,53,1,1,1,7,1,0,43,9312,2,3
110,CH,8,331,0.866011918,0.464939934,2,8,1,1986,30,2,5,7,18,1,0,42,2140,1,7
111,CH,8,333,1.186012149,0.464939934,4,8,1,1964,52,1,3,3,9,1,0,888,5412,1,3
112,CH,8,335,1.102796197,0.464939934,1,6,2,1945,71,2,3,3,9,0,0,25,4110,2,3
113,CH,8,337,0.866011918,0.464939934,3,8,1,1985,31,2,3,3,9,1,0,45,7412,2,3
114,CH,8,341,0.899777412,0.464939934,4,9,1,1955,61,2,5,7,23,1,0,30,2511,1,10
115,CH,8,342,1.001342416,0.464939934,2,7,1,1980,36,2,5,5,10,1,0,50,7133,2,6
116,CH,8,346,1.140466452,0.464939934,3,10,2,1963,53,2,5,5,9,1,0,50,4120,2,8
117,CH,8,354,1.265699387,0.464939934,3,8,2,1976,40,2,4,5,10,1,0,43,3313,2,3
118,CH,8,355,0.899520457,0.464939934,3,8,1,1984,32,2,5,7,13,1,0,36,2433,1,6
119,CH,8,356,1.102796197,0.464939934,3,8,2,1950,66,2,1,1,9,0,0,42,7311,2,2
120,CH,8,360,1.102796197,0.464939934,4,9,2,1938,78,2,2,2,8,0,0,666,66666,2,1
121,CH,8,365,0.206288934,0.464939934,2,7,2,7777,999,2,2,2,11,0,0,888,7531,2,3
122,CH,8,366,1.090924263,0.464939934,1,9,2,1945,72,2,5,5,13,0,0,36,2635,2,7
123,CH,8,370,0.78312695,0.464939934,1,8,1,1953,63,2,5,7,19,1,0,60,2269,2,77
124,CH,8,371,0.924070776,0.464939934,4,10,2,1956,60,2,2,2,8,1,0,7,9100,2,77
125,CH,8,374,1.022381425,0.464939934,2,7,1,1993,23,2,2,2,11,0,0,666,66666,1,88
126,CH,8,377,1.102796197,0.464939934,3,7,2,1959,57,2,2,2,9,1,0,40,5321,2,5
127,CH,8,378,1.009714603,0.464939934,3,6,2,1990,26,1,3,3,9,1,0,42,7311,1,3
128,CH,8,380,1.090924263,0.464939934,2,10,2,1942,74,2,2,2,12,0,0,24,3313,1,9
129,CH,8,388,0.890090764,0.464939934,1,8,1,1941,75,2,1,1,6,0,0,40,4321,1,2
130,CH,8,392,0.899777412,0.464939934,3,10,1,1942,74,2,3,3,12,0,0,90,1300,2,7
131,CH,8,393,0.872584283,0.464939934,3,9,1,1984,32,2,3,3,15,1,0,43,7320,2,4
132,CH,8,394,0.866011918,0.464939934,1,8,1,1984,320,2,3,4,15,0,0,777,77777,2,77
133,CH,8,398,0.890090764,0.464939934,2,7,1,1944,72,2,5,6,12,1,0,60,1411,2,8
134,CH,8,401,1.102796197,0.464939934,1,7,2,1960,56,2,5,5,17,1,0,60,5221,1,77
135,CH,8,402,0.866011918,0.464939934,1,10,1,1985,31,2,5,6,12,1,0,30,8100,2,7
136,CH,8,404,1.003414631,0.464939934,4,8,2,1970,46,2,3,4,12,1,0,41,3000,2,2
137,CH,8,407,1.102796197,0.464939934,3,9,2,1925,91,2,2,2,9,0,0,45,9320,2,1
138,CH,8,408,0.890090764,0.464939934,2,8,1,1958,58,2,3,3,9,1,0,42,7122,1,2
139,CH,8,411,1.186012149,0.464939934,2,6,1,1963,53,2,3,3,10,1,0,0,7411,2,6
140,CH,8,413,0.899777412,0.464939934,3,6,1,1956,60,2,55,55,9,0,0,47,3120,1,1
141,CH,8,417,0.959825993,0.464939934,2,7,2,1949,67,2,1,1,8,0,0,666,66666,2,7
142,CH,8,425,1.090924263,0.464939934,2,10,2,1926,90,2,2,2,9,0,0,25,4223,2,3
143,CH,8,427,0.75395447,0.464939934,2,8,1,1938,78,2,2,2,6,0,0,44,8152,2,2
144,CH,8,428,0.924070776,0.464939934,3,10,2,1932,84,2,3,3,10,0,0,20,4120,2,2
145,CH,8,432,0.78312695,0.464939934,2,10,1,1934,82,2,3,3,9,0,0,60,7522,2,2
146,CH,8,436,0.866011918,0.464939934,4,10,1,1991,25,2,2,2,8,0,0,45,9312,1,3
147,CH,8,439,1.186012149,0.464939934,2,8,1,1970,46,2,4,5,9,1,0,42,5223,2,9
148,CH,8,440,1.17324388,0.464939934,1,8,1,1968,48,2,3,3,9,1,0,60,7412,1,5
149,CH,8,443,1.160116434,0.464939934,2,9,2,1985,31,2,5,7,12,1,1,48,1212,1,10
150,CH,8,446,0.899777412,0.464939934,3,9,1,1955,61,2,5,7,20,0,0,36,2330,2,1
151,CH,8,447,0.979478419,0.464939934,1,9,2,1986,30,2,5,7,12,1,0,35,2610,1,4
152,CH,8,448,0.899520457,0.464939934,3,8,1,1993,23,2,3,3,9,1,0,42,7411,2,7
153,CH,8,452,1.17324388,0.464939934,1,10,1,1967,49,1,5,5,15,1,0,60,7200,2,4
154,CH,8,455,1.001342416,0.464939934,1,5,1,1965,51,2,5,5,16,0,0,30,2643,1,1
155,CH,8,456,1.090924263,0.464939934,2,7,2,1952,64,1,2,2,8,1,0,26,9110,1,77
156,CH,8,459,0.959825993,0.464939934,2,8,2,1957,59,2,3,3,9,1,0,45,5141,2,7
157,CH,8,461,1.090924263,0.464939934,3,8,2,1933,83,2,2,2,9,0,0,888,5223,2,88
158,CH,8,466,1.032253623,0.464939934,2,8,1,1977,39,2,3,3,10,1,0,42,7131,1,3
159,CH,8,468,0.959825993,0.464939934,3,6,2,1947,69,2,4,5,9,0,0,4,4120,2,77
160,CH,8,471,0.924070776,0.464939934,2,9,2,1952,64,2,2,2,9,0,0,55,1412,2,3
161,CH,8,474,1.003414631,0.464939934,4,5,2,1967,49,2,3,3,9,1,0,22,4110,1,4
162,CH,8,475,0.890090764,0.464939934,4,8,1,1941,75,2,3,4,14,0,0,54,3150,2,88
163,CH,8,476,1.102796197,0.464939934,4,8,2,1937,79,2,2,2,9,0,0,666,66666,2,6
164,CH,8,477,1.186012149,0.464939934,4,1,1,1972,44,2,2,2,9,0,0,2,9000,1,3
165,CH,8,480,1.152878165,0.464939934,3,8,2,1964,52,2,5,5,13,0,0,35,5131,1,77
166,CH,8,482,1.009714603,0.464939934,3,7,2,1984,32,2,5,7,12,1,0,33,2634,2,8
167,CH,8,483,0.973367512,0.464939934,3,7,2,1968,48,2,2,2,9,1,0,32,9100,1,2
168,CH,8,485,1.022381425,0.464939934,2,8,1,1983,33,2,5,7,13,1,0,45,3221,2,6
169,CH,8,486,0.866011918,0.464939934,3,10,1,1985,31,2,3,3,9,1,0,55,7231,2,2
170,CH,8,488,1.186012149,0.464939934,1,7,1,1971,45,1,5,7,17,1,0,80,1210,1,7
171,CH,8,492,0.866011918,0.464939934,2,7,1,1985,31,2,5,5,9,1,0,43,2000,2,4
172,CH,8,500,1.152878165,0.464939934,3,9,2,1968,48,1,3,3,9,1,0,45,3343,2,6
173,CH,8,505,1.17324388,0.464939934,2,6,1,1965,51,2,5,5,15,1,0,36,5223,2,1
174,CH,8,507,1.032253623,0.464939934,1,8,1,1970,46,1,3,3,9,1,0,10,5153,1,3
175,CH,8,510,0.924070776,0.464939934,2,9,2,1955,61,2,4,5,10,1,0,27,3221,2,3
176,CH,8,512,0.899777412,0.464939934,2,7,1,1957,59,2,3,3,8,1,0,42,7121,1,9
177,CH,8,518,0.75395447,0.464939934,2,9,1,1946,70,2,3,3,8,0,0,55,8331,1,7
178,CH,8,521,1.17324388,0.464939934,3,3,1,1981,35,2,5,6,9,1,0,48,3115,1,6
179,CH,8,524,0.759676516,0.464939934,2,9,1,1959,57,2,5,7,14,1,0,55,1320,2,9
180,CH,8,528,0.924070776,0.464939934,3,10,2,1949,67,2,3,3,10,0,0,45,5223,2,3
181,CH,8,532,1.032253623,0.464939934,2,9,1,1976,40,2,5,5,9,1,0,45,5320,1,77
182,CH,8,536,0.899777412,0.464939934,2,9,1,1947,69,2,3,3,12,0,0,45,1439,2,2
183,CH,8,539,1.17324388,0.464939934,3,7,1,1968,48,2,5,7,19,1,0,40,2500,2,8
184,CH,8,542,0.899777412,0.464939934,3,8,1,1931,85,2,2,2,9,0,0,65,6130,2,2
185,CH,8,543,1.102796197,0.464939934,2,6,2,1948,68,2,2,2,8,0,0,42,5223,2,1
