"","x","cntry","essround","idno","pspwght","pweight","polintr","happy","gndr","yrbrn","agea","chldhm","edulvla","eisced","eduyrs","pdwrk","edctn","wkhtot","isco08","uemp3m","hinctnta","agea_l"
"455",455,"CH",8,1158,1.147626638,0.464939934,3,8,2,1988,28,2,3,3,10,1,0,42,5223,1,4,2016
"976",976,"CH",8,2311,1.001342416,0.464939934,2,8,1,1975,41,1,4,5,10,1,0,55,1120,2,8,2016
"749",749,"CH",8,1802,1.032253623,0.464939934,3,8,1,1975,41,1,5,5,12,1,0,39,2512,2,7,2016
"323",323,"CH",8,883,1.147626638,0.464939934,3,8,2,1988,28,2,3,3,9,1,0,45,3324,2,4,2016
"1000",1000,"CH",8,2367,0.890090764,0.464939934,2,10,1,1959,57,1,5,6,12,1,0,50,2636,2,2,2016
"229",229,"CH",8,651,0.759676516,0.464939934,2,8,1,1932,84,2,2,2,10,0,0,42,3120,2,4,2016
"64",64,"CH",8,176,1.17324388,0.464939934,2,8,1,1976,41,2,5,5,9,1,0,42,2642,1,4,2017
"1504",1504,"CH",8,3407,1.022381425,0.464939934,3,9,1,1992,24,2,3,3,10,1,0,34,3118,2,88,2016
"441",441,"CH",8,1127,0.890090764,0.464939934,1,9,1,1933,84,2,5,5,14,0,0,60,1120,2,4,2017
"1386",1386,"CH",8,3109,1.17324388,0.464939934,1,7,1,1970,46,1,5,7,17,1,0,46,3311,2,7,2016
"108",108,"CH",8,326,1.140466452,0.464939934,2,8,2,1971,45,2,5,6,18,1,0,40,3431,2,4,2016
"1297",1297,"CH",8,2944,1.001342416,0.464939934,2,8,1,1962,54,1,5,7,20,1,0,45,2622,2,10,2016
"966",966,"CH",8,2284,1.003414631,0.464939934,3,7,2,1978,38,1,3,3,12,1,0,11,9111,2,4,2016
"938",938,"CH",8,2217,1.001342416,0.464939934,3,8,1,1976,40,1,5,7,9,1,0,42,2511,2,9,2016
"421",421,"CH",8,1089,0.890090764,0.464939934,1,10,1,1941,75,2,5,7,18,0,0,55,2636,2,7,2016
"994",994,"CH",8,2357,0.966035604,0.464939934,4,8,2,1973,43,1,3,3,9,1,0,16,7549,2,6,2016
"1055",1055,"CH",8,2468,1.140466452,0.464939934,2,7,2,1973,43,1,5,7,18,1,0,20,2330,2,77,2016
"623",623,"CH",8,1517,0.78312695,0.464939934,3,7,1,1950,66,2,1,1,9,0,0,48,9629,1,3,2016
"1130",1130,"CH",8,2611,1.152878165,0.464939934,2,8,2,1977,39,1,5,6,17,1,0,32,4415,1,5,2016
"424",424,"CH",8,1095,0.78312695,0.464939934,1,10,1,1950,66,2,5,5,18,0,0,1,2320,2,7,2016
"805",805,"CH",8,1920,1.033508062,0.464939934,3,10,1,1999,17,2,2,2,9,1,0,32,7231,2,88,2016
"349",349,"CH",8,941,0.75395447,0.464939934,2,8,1,1951,65,2,3,4,12,0,0,43,1320,2,5,2016
"33",33,"CH",8,92,0.899777412,0.464939934,3,6,1,1950,66,2,1,1,9,0,0,40,7311,2,2,2016
"717",717,"CH",8,1728,0.181498811,0.464939934,3,8,2,7777,NA,2,5,7,17,1,0,888,2330,1,77,NA
"1192",1192,"CH",8,2744,1.140466452,0.464939934,2,10,2,1969,48,1,3,3,9,1,0,24,7549,2,4,2017
"1106",1106,"CH",8,2568,1.001342416,0.464939934,2,8,1,1971,45,1,3,3,9,1,0,48,3100,2,6,2016
